"sf__Id","sf__Error","First_Name__c","Last_Name__c","Email__c","Phone__c","Type__c"
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Rowan","Martinez","rowan.martinez@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Sage","Robinson","sage.robinson@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","River","Clark","river.clark@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Phoenix","Rodriguez","phoenix.rodriguez@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Blake","Lewis","blake.lewis@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Drew","Lee","drew.lee@example.com","",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate0","elizabeth.candidate0@test.com","555-030-1000",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate1","elizabeth.candidate1@test.com","555-030-1001",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate2","elizabeth.candidate2@test.com","555-030-1002",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate3","elizabeth.candidate3@test.com","555-030-1003",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate4","elizabeth.candidate4@test.com","555-030-1004",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate5","elizabeth.candidate5@test.com","555-030-1005",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate6","elizabeth.candidate6@test.com","555-030-1006",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Elizabeth","Candidate7","elizabeth.candidate7@test.com","555-030-1007",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Test","Candidate0","test.candidate0@test.com","555-010-1000",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Test","Candidate1","test.candidate1@test.com","555-010-1001",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Test","Candidate2","test.candidate2@test.com","555-010-1002",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Test","Candidate3","test.candidate3@test.com","555-010-1003",""
"","CANNOT_EXECUTE_FLOW_TRIGGER:We can't save this record because the “Candidate Stage Email Automation” process failed. Give your Salesforce admin these details. Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700)Recipient ID is required when using templates
 Error ID: 1419116978-12229 (40981700):--","Test","Candidate4","test.candidate4@test.com","555-010-1004",""
